student_id,gender,age,province,college,major,total_courses,avg_score,weighted_avg_score,avg_gpa,weighted_gpa,fail_count,total_credits,library_visits,library_days,avg_visit_hour,total_online_duration,avg_online_duration,online_records,total_attendance,task_participation
pjxyqwbj646,男,23.0,13,计算机科学与技术学院,计算机科学与技术,107,88.5233644859813,0.0,3.3953271028037384,0.0,0,149.5,664.0,323.0,13.843373493975903,2508.16,358.3085714285714,7.0,0.0,0.0
pjxyqxbk115,女,21.0,61,通信工程学院,通信工程,108,92.03703703703704,0.0,3.599074074074074,0.0,0,147.5,0.0,0.0,0.0,2189.18,312.73999999999995,7.0,0.0,0.0
pjxyqxbk847,男,22.0,34,通信工程学院,通信工程,111,89.26126126126127,0.0,3.3774774774774774,0.0,0,151.2,0.0,0.0,0.0,5547.46,792.4942857142858,7.0,0.0,0.0
pjxyqxbk951,男,22.0,36,微电子学院,微电子科学与工程,113,92.07964601769912,0.0,3.5769911504424776,0.0,1,156.0,0.0,0.0,0.0,3635.99,519.4271428571428,7.0,0.0,0.0
pjxyqxbk183,男,22.0,61,电子工程学院,电子信息工程,109,90.69724770642202,0.0,3.477981651376147,0.0,1,155.0,0.0,0.0,0.0,1492.22,213.17428571428573,7.0,0.0,0.0
pjxyqwbj041,男,22.0,42,人工智能学院,人工智能,120,77.65,0.0,2.6591666666666667,0.0,16,179.1,0.0,0.0,0.0,2373.76,339.10857142857145,7.0,0.0,0.0
pjxyqxbk015,男,22.0,61,光电工程学院,电子科学与技术,123,80.91056910569105,0.0,2.5829268292682928,0.0,8,172.8,0.0,0.0,0.0,2194.6400000000003,313.52000000000004,7.0,0.0,0.0
pjxrqxbj937,女,22.0,37,数学与统计学院,信息与计算科学,97,86.6082474226804,0.0,3.1814432989690724,0.0,4,152.0,0.0,0.0,0.0,10577.33,1322.16625,8.0,0.0,0.0
pjxpqxbj918,男,22.0,61,外国语学院,翻译,110,80.45454545454545,0.0,2.9872727272727273,0.0,4,169.3,0.0,0.0,0.0,562.32,80.33142857142857,7.0,0.0,0.0
pjxyqwbj203,男,23.0,41,计算机科学与技术学院,计算机科学与技术,108,89.23148148148148,0.0,3.4453703703703704,0.0,0,149.5,0.0,0.0,0.0,1593.15,227.59285714285716,7.0,0.0,0.0
pjxyqxbj707,女,22.0,42,微电子学院,微电子科学与工程,115,91.5304347826087,0.0,3.5356521739130438,0.0,0,147.5,0.0,0.0,0.0,8274.18,1182.0257142857142,7.0,0.0,0.0
pjxrqxbj990,女,22.0,32,数学与统计学院,数学与应用数学,94,93.92553191489361,0.0,3.612765957446809,0.0,2,151.0,224.0,110.0,14.138392857142858,2472.67,353.23857142857145,7.0,0.0,0.0
pjxyqwbj277,男,23.0,43,计算机科学与技术学院,数字媒体技术,103,82.49514563106796,0.0,2.885436893203883,0.0,5,161.0,0.0,0.0,0.0,10802.63,1543.232857142857,7.0,0.0,0.0
pjxyqwbj535,男,22.0,33,计算机科学与技术学院,计算机科学与技术,109,94.75229357798165,0.0,3.684403669724771,0.0,0,147.0,0.0,0.0,0.0,1896.69,316.115,6.0,0.0,0.0
pjxyqxbk072,女,22.0,61,电子工程学院,信息对抗技术,116,87.02586206896552,0.0,3.0465517241379314,0.0,3,159.3,217.0,112.0,14.668202764976959,5190.75,741.5357142857143,7.0,0.0,0.0
pjxyqxbk926,男,22.0,34,通信工程学院,信息工程,113,82.11504424778761,0.0,2.8672566371681416,0.0,3,154.5,0.0,0.0,0.0,2287.12,326.7314285714286,7.0,0.0,0.0
pjvyzvfj977,男,27.0,52,人工智能学院,人工智能（第二学士学位）,26,89.46153846153847,74.4578313253012,2.4923076923076923,2.5120481927710845,2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjxuqwbj980,男,23.0,45,机电工程学院,机械设计制造及其自动化,165,75.34545454545454,0.0,2.204242424242424,0.0,42,277.5,0.0,0.0,0.0,5673.6,709.2,8.0,0.0,0.0
pjxyqxbj647,男,22.0,44,微电子学院,集成电路设计与集成系统,117,85.95726495726495,0.0,3.1162393162393163,0.0,2,160.7,0.0,0.0,0.0,5389.17,673.64625,8.0,0.0,0.0
